LS1_DriftRatio	LS2_DriftRatio	LS3_DriftRatio	LS4_DriftRatio
0.0069123	0.0125804	0.0167970	0.0199075
0.0107909	0.0278887	0.0426897	0.0549388
0.0197299	0.0269388	0.0325670	0.0375626
0.0091491	0.0157941	0.0208020	0.0251358
0.0101687	0.0197932	0.0280427	0.0350606
0.0096025	0.0202596	0.0275863	0.0339694
0.0135694	0.0200411	0.0259699	0.0306879
0.0088834	0.0147426	0.0183337	0.0221139
0.0135509	0.0158299	0.0213735	0.0242683
0.0104459	0.0192974	0.0263896	0.0308428
0.0117734	0.0142694	0.0180369	0.0201089
0.0100476	0.0185867	0.0267424	0.0342589
0.0071987	0.0144504	0.0206963	0.0261484
0.0086492	0.0133793	0.0163524	0.0186499
0.0094307	0.0191747	0.0266315	0.0323966
0.0102806	0.0209581	0.0302860	0.0388202
0.0115994	0.0252181	0.0366886	0.0466126
0.0124278	0.0200576	0.0255635	0.0311482
0.0081668	0.0195722	0.0297456	0.0388277
0.0156949	0.0219910	0.0267360	0.0310246
0.0098964	0.0158274	0.0203446	0.0229308
0.0118800	0.0161048	0.0217017	0.0252044
0.0081536	0.0125059	0.0170784	0.0212103
0.0107631	0.0115551	0.0177106	0.0209503
0.0095971	0.0193041	0.0276190	0.0344322
0.0067207	0.0171711	0.0259228	0.0341575
0.0121564	0.0191229	0.0238453	0.0271649
0.0076676	0.0150570	0.0220096	0.0276510
0.0114899	0.0196373	0.0248252	0.0296997
0.0131426	0.0268941	0.0396071	0.0503862
0.0118374	0.0143682	0.0205726	0.0225319
0.0087090	0.0144750	0.0189196	0.0223431
0.0118046	0.0165667	0.0200545	0.0224019
0.0058211	0.0125155	0.0176090	0.0219748
0.0114097	0.0188609	0.0251479	0.0291063
0.0108388	0.0196900	0.0272990	0.0331687
0.0062880	0.0092922	0.0118074	0.0128554
0.0109833	0.0151769	0.0183721	0.0211678
0.0067563	0.0101907	0.0133437	0.0159336
0.0153632	0.0201311	0.0260142	0.0300851
0.0112080	0.0250532	0.0369205	0.0484881
0.0069593	0.0117120	0.0165495	0.0212174
0.0064118	0.0091724	0.0114878	0.0131798
0.0171119	0.0221087	0.0276529	0.0305277
0.0069101	0.0121238	0.0170477	0.0216407
0.0063655	0.0092167	0.0110733	0.0120679
0.0092704	0.0152713	0.0208998	0.0257419
0.0104158	0.0259361	0.0396860	0.0511345
0.0059704	0.0136090	0.0179112	0.0227402
0.0108063	0.0223725	0.0325457	0.0411991
0.0039325	0.0081675	0.0117974	0.0145199
0.0118868	0.0185435	0.0243813	0.0292680
0.0088106	0.0137728	0.0177224	0.0206593
0.0080540	0.0163128	0.0225921	0.0279843
0.0068443	0.0143210	0.0223184	0.0287164
0.0063540	0.0114373	0.0148261	0.0177913
0.0099570	0.0149354	0.0205571	0.0248364
0.0065435	0.0159044	0.0244473	0.0318087
0.0104682	0.0274481	0.0431366	0.0578085
0.0052441	0.0092963	0.0116800	0.0140637
0.0116020	0.0201100	0.0256433	0.0298974
0.0153329	0.0197987	0.0238181	0.0263487
0.0102369	0.0137902	0.0163282	0.0182741
0.0097954	0.0262006	0.0392213	0.0499723
0.0047839	0.0108607	0.0156446	0.0199113
0.0043161	0.0060934	0.0078706	0.0093939
0.0168663	0.0229139	0.0273524	0.0319574
